molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1448136,CC(C)CN1CN(Cc2ccccc2)CN=C1S,inactive,263.40999999999997,2.661000000000002,1.0,3.0,4.149999867728904
CHEMBL2132678,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cc(S(=O)(=O)N2CCCCC2)ccc1N1CCOCC1,active,513.5380000000005,3.8487000000000027,1.0,6.0,6.400007822415902
CHEMBL222409,CN(C)c1ccc2c(c1)OC(N)=C(C#N)C2c1cccc(F)c1,inactive,309.344,3.1098800000000013,1.0,4.0,4.499999678657065
CHEMBL1903515,CCOC(=O)[C@@H]1[C@H]2COc3ccc(Br)cc3[C@@H]2N2C(=O)N(c3ccc(C)cc3)C(=O)[C@]12C,inactive,499.3610000000003,4.2276200000000035,0.0,5.0,4.349999603463148
CHEMBL1457361,COc1ccc(CCNC(=O)C2CCN(C(=O)c3ccc(Cl)cc3)CC2)cc1,inactive,400.90600000000006,3.559700000000003,1.0,3.0,4.849999245077863
CHEMBL3039775,O=C(N/N=C/c1cc(Cl)cc(Cl)c1O)c1ccncc1,inactive,310.14,2.8579000000000008,2.0,4.0,4.499999678657065
CHEMBL1342888,Nc1nc(-c2sc3nc4c(cc3c2N)CCCC4)nc(N2CCOCC2)n1,active,383.48100000000017,2.0281000000000002,2.0,9.0,6.0499760934766735
CHEMBL1318466,O=C(c1ccc(Cl)cc1)n1nc(-c2ccccc2)nc1NCc1ccco1,active,378.81900000000013,4.492100000000002,1.0,6.0,6.0
CHEMBL1373390,O=C(O)c1ccc2c(c1Nc1ccccc1)C(=O)c1ccccc1C2=O,inactive,343.3380000000001,3.903800000000002,2.0,4.0,4.349999603463148
CHEMBL1519538,Cc1ccc(NC(=O)CN(c2ccc3c(c2)OCO3)S(=O)(=O)c2c(C)n[nH]c2C)cc1,active,442.4970000000002,2.897660000000001,2.0,6.0,6.100015437450609
CHEMBL1538108,CCN1CCc2c(sc(NC(=O)c3ccc(S(=O)(=O)N(CC)c4ccccc4)cc3)c2C(N)=O)C1,inactive,512.6570000000003,3.6925000000000017,2.0,6.0,4.550000451689026
CHEMBL1402473,Cc1nc(COC(=O)c2cc(O)c3ccccc3c2O)cs1,inactive,315.35,3.3729200000000015,2.0,6.0,4.40000018605658
CHEMBL1580892,CCC(C)NCCOc1ccc(C)cc1[N+](=O)[O-].O=C(O)C(=O)O,inactive,342.34800000000007,1.8257199999999998,3.0,6.0,4.800000874803203
CHEMBL1444693,O=C(CCc1ccccc1)Nc1nnc(-c2cccs2)o1,inactive,299.355,3.3694000000000015,1.0,5.0,4.40000018605658
CHEMBL1401165,C=CCNC(=O)c1c(N)n(Cc2ccco2)c2nc3ccccc3nc12,inactive,347.37800000000004,2.7238000000000007,2.0,6.0,4.59999938302362
CHEMBL1369492,CCc1nnc(NS(=O)(=O)c2ccc(NC(=S)NC(=O)/C=C/c3ccc(C(C)C)cc3)cc2)s1,inactive,515.6860000000001,4.5511000000000035,3.0,7.0,4.59999938302362
CHEMBL2143726,Nc1c(Br)cc(Br)c2c1nc(O)c1ccccc12,active,368.0280000000001,4.200800000000001,2.0,3.0,6.400007822415902
CHEMBL1966824,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)n3cc(C[C@@H](C)CC)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@@H]([C@H](C)O)n3cc(C)nn3)CC2)n1,inactive,1218.6489999999988,5.590320000000014,5.0,21.0,4.250000251143582
CHEMBL1710800,C=C1c2ccccc2O[C@H](C(=O)OCC)[C@@H]1C1CCCCC1,inactive,300.3980000000001,4.220400000000003,0.0,3.0,4.300000202445418
CHEMBL1485701,CC(C)N1C(=O)C2C(c3ccccc3O)NC(C)(C(=O)O)C2C1=O,active,332.3560000000001,0.8893999999999997,3.0,5.0,6.15002808767115
CHEMBL1880474,CCCCSCCCNC(=O)c1cn(C)c2ccc(S(=O)(=O)N3CCCCCC3)cc2c1=O,inactive,493.6950000000004,3.756400000000003,1.0,6.0,4.200000237109354
CHEMBL527336,Cc1ccc(NC2=C(N3CCCCC3)C(=O)c3ccccc3C2=O)cc1,inactive,346.43,4.183620000000003,1.0,4.0,4.749999855918706
